state,year,total_cases,Group_Name,Sub_Group_Name,crime_type,Subgroup
Puducherry,2004,3,Murder - Female Victims,2. Female Victims,Murder,
Punjab,2004,194,Murder - Female Victims,2. Female Victims,Murder,
Rajasthan,2004,287,Murder - Female Victims,2. Female Victims,Murder,
Sikkim,2004,5,Murder - Female Victims,2. Female Victims,Murder,
Tamil Nadu,2004,493,Murder - Female Victims,2. Female Victims,Murder,
Tripura,2004,44,Murder - Female Victims,2. Female Victims,Murder,
Uttar Pradesh,2004,1401,Murder - Female Victims,2. Female Victims,Murder,
Uttarakhand,2004,47,Murder - Female Victims,2. Female Victims,Murder,
West Bengal,2004,425,Murder - Female Victims,2. Female Victims,Murder,
Andaman & Nicobar Islands,2005,4,Murder - Female Victims,2. Female Victims,Murder,
Andhra Pradesh,2005,722,Murder - Female Victims,2. Female Victims,Murder,
Arunachal Pradesh,2005,1,Murder - Female Victims,2. Female Victims,Murder,
Assam,2005,65,Murder - Female Victims,2. Female Victims,Murder,
Bihar,2005,442,Murder - Female Victims,2. Female Victims,Murder,
Chandigarh,2005,3,Murder - Female Victims,2. Female Victims,Murder,
Chhattisgarh,2005,323,Murder - Female Victims,2. Female Victims,Murder,
Delhi,2005,158,Murder - Female Victims,2. Female Victims,Murder,
Goa,2005,14,Murder - Female Victims,2. Female Victims,Murder,
Gujarat,2005,346,Murder - Female Victims,2. Female Victims,Murder,
Haryana,2005,143,Murder - Female Victims,2. Female Victims,Murder,
Himachal Pradesh,2005,36,Murder - Female Victims,2. Female Victims,Murder,
Jammu & Kashmir,2005,102,Murder - Female Victims,2. Female Victims,Murder,
Jharkhand,2005,173,Murder - Female Victims,2. Female Victims,Murder,
Karnataka,2005,585,Murder - Female Victims,2. Female Victims,Murder,
Kerala,2005,147,Murder - Female Victims,2. Female Victims,Murder,
Lakshadweep,2005,1,Murder - Female Victims,2. Female Victims,Murder,
Madhya Pradesh,2005,528,Murder - Female Victims,2. Female Victims,Murder,
Maharashtra,2005,980,Murder - Female Victims,2. Female Victims,Murder,
Manipur,2005,19,Murder - Female Victims,2. Female Victims,Murder,
Meghalaya,2005,19,Murder - Female Victims,2. Female Victims,Murder,
Mizoram,2005,4,Murder - Female Victims,2. Female Victims,Murder,
Nagaland,2005,17,Murder - Female Victims,2. Female Victims,Murder,
Odisha,2005,326,Murder - Female Victims,2. Female Victims,Murder,
Puducherry,2005,9,Murder - Female Victims,2. Female Victims,Murder,
Punjab,2005,187,Murder - Female Victims,2. Female Victims,Murder,
Rajasthan,2005,296,Murder - Female Victims,2. Female Victims,Murder,
Sikkim,2005,4,Murder - Female Victims,2. Female Victims,Murder,
Tamil Nadu,2005,462,Murder - Female Victims,2. Female Victims,Murder,
Tripura,2005,64,Murder - Female Victims,2. Female Victims,Murder,
Uttar Pradesh,2005,1354,Murder - Female Victims,2. Female Victims,Murder,
Uttarakhand,2005,53,Murder - Female Victims,2. Female Victims,Murder,
West Bengal,2005,365,Murder - Female Victims,2. Female Victims,Murder,
Andaman & Nicobar Islands,2006,1,Murder - Female Victims,2. Female Victims,Murder,
Andhra Pradesh,2006,744,Murder - Female Victims,2. Female Victims,Murder,
Arunachal Pradesh,2006,0,Murder - Female Victims,2. Female Victims,Murder,
Assam,2006,76,Murder - Female Victims,2. Female Victims,Murder,
Bihar,2006,413,Murder - Female Victims,2. Female Victims,Murder,
Chandigarh,2006,4,Murder - Female Victims,2. Female Victims,Murder,
Chhattisgarh,2006,336,Murder - Female Victims,2. Female Victims,Murder,
Dadra & Nagar Haveli,2006,3,Murder - Female Victims,2. Female Victims,Murder,
Daman & Diu,2006,2,Murder - Female Victims,2. Female Victims,Murder,
Delhi,2006,128,Murder - Female Victims,2. Female Victims,Murder,
Goa,2006,10,Murder - Female Victims,2. Female Victims,Murder,
